name	objName	posx	posy	posz	scalex	scaley	scalez	rotx	roty	rotz	XAnimRows	YAnimRows	Tag			hasPhysics	isStatic	isKinematic	meshCollision	FlipNormals	doDraw	hitBoxX	hitBoxY	hitBoxZ	radius	capsuleHeight
resources/collision/Level1CollisionMesh.x BAKE	0	-10	0	2	2	-2	0	0	0	0	0	BAKE	0		0		0		0		1		0	0	0	0	0	0
resources/models/level1.x	Level	0	-20	0	2	2	-2	0	0	0	0	0	LevelModel	0	0	0	0	0	1	0	0	0	0	0
Resources/Models/DeurStandaard.x	Door	28.0879	-7.8215	46.2279	1.89808	5.91157	5.2741	0	0	0	0	0	NoKey	1	0	1	0	0	1	0	0	0	0	0
Resources/Models/DeurGreen.x	Door	28.1023	-8.39374	131.271	2	6.21316	5.64859	0	0	0	0	0	GreenKey	1	0	1	0	0	1	0	0	0	0	0
Resources/Models/DeurRed.x	Door	52.7831	-8.06	131.276	1.91881	5.57164	5.61322	0	0	0	0	0	RedKey	1	0	1	0	0	1	0	0	0	0	0
Resources/Models/DeurGreen.x	Door	52.8976	-8.26484	1.90041	1.78192	5.53842	5.20471	0	0	0	0	0	GreenKey	1	0	1	0	0	1	0	0	0	0	0
Resources/Models/DeurGreen.x	Door	28.2673	-8.00665	3.36307	1.96606	5.83705	5.33431	0	0	0	0	0	GreenKey	1	0	1	0	0	1	0	0	0	0	0
Resources/Models/DeurStandaard.x	Door	53.14	-7.78454	-75.8981	1.65664	5.96962	5.66857	0	0	0	0	0	NoKey	1	0	1	0	0	1	0	0	0	0	0
Resources/Models/DeurStandaard.x	Door	101.105	-8.39132	-102.353	2.0584	5.69341	6.07816	0	0	0	0	0	NoKey	1	0	1	0	0	1	0	0	0	0	0
Resources/Models/DeurStandaard.x	Door	133.041	-7.91904	-85.1279	5.75821	6.19561	2.47042	0	0	0	0	0	NoKey	1	0	1	0	0	1	0	0	0	0	0
Resources/Models/DeurStandaard.x	Door	132.905	-8.27855	-18.9771	5.3389	5.74726	1.9666	0	0	0	0	0	NoKey	1	0	1	0	0	1	0	0	0	0	0
Resources/Models/DeurRed.x	Door	27.6205	-8.18624	-75.7342	2.37592	5.83489	5.31811	0	0	0	0	0	RedKey	1	0	1	0	0	1	0	0	0	0	0
Resources/Models/DeurGreen.x	Door	-56.2051	-10.8301	-127.335	1	1	1	0	0	0	0	0	GreenKey	1	0	1	0	0	1	0	0	0	0	0
Resources/Models/DeurStandaard.x	Door	-156.588	-7.94574	-55.9001	5.37832	5.74093	1.64287	0	0	0	0	0	NoKey	1	0	1	0	0	1	0	0	0	0	0
Resources/Models/DeurGreen.x	Door	-58.3944	-8.14401	16.6198	6.6133	6.01579	2.83708	0	0	0	0	0	GreenKey	1	0	1	0	0	1	0	0	0	0	0
Resources/Models/DeurGreen.x	Door	-157.533	-8.19726	78.0449	5.65237	5.74498	1.2295	0	0	0	0	0	GreenKey	1	0	1	0	0	1	0	0	0	0	0
Resources/Models/DeurStandaard.x	Door	-134.86	-8.02566	103.402	2.1016	5.83138	5.78926	0	0	0	0	0	NoKey	1	0	1	0	0	1	0	0	0	0	0
Resources/Models/DeurStandaard.x	Door	-107.203	-8.01796	42.9495	1.6966	5.91427	5.72824	0	0	0	0	0	NoKey	1	0	1	0	0	1	0	0	0	0	0
Resources/Models/DeurGreen.x	Door	11.2856	-8.60806	70.1451	5.42881	5.81977	1.459	0	0	0	0	0	GreenKey	1	0	1	0	0	1	0	0	0	0	0
Resources/Models/DeurStandaard.x	Door	-61.7305	-8.25925	70.1481	5.22469	5.563	1.4131	0	0	0	0	0	NoKey	1	0	1	0	0	1	0	0	0	0	0
Resources/Models/DeurStandaard.x	Door	-26.1951	-8.35888	70.0328	5.22469	5.563	1.4131	0	0	0	0	0	NoKey	1	0	1	0	0	1	0	0	0	0	0
Resources/Models/DeurStandaard.x	Door	-35.7106	-7.98098	-47.7251	1.67689	6.1427	5.37751	0	0	0	0	0	Door	1	0	0	0	0	1	0	0	0	0	0
Resources/Models/DeurStandaard.x	Block	208.253	-8.25213	67.748	4.74436	6.05009	4.56454	0	0	0	0	0	Block	1	1	0	0	0	1	0	0	0	0	0
Resources/Models/Box.x	Box	24.4557	-12.5282	21.9106	2.4688	2.6065	2.4688	0	0	0	0	0	Box	1	1	0	0	0	1	0	0	0	0	0
Resources/Models/Box.x	Box	24.6323	-9.96979	21.8395	2.4688	2.6065	2.4688	0	0	0	0	0	Box	1	1	0	0	0	1	0	0	0	0	0
Resources/Models/Box.x	Box	24.7517	-7.39172	21.8248	2.4688	2.6065	2.4688	0	0	0	0	0	Box	1	1	0	0	0	1	0	0	0	0	0
Resources/Models/Box.x	Box	21.7093	-12.3017	22.0461	2.4688	2.6065	2.4688	0	0	0	0	0	Box	1	1	0	0	0	1	0	0	0	0	0
Resources/Models/Box.x	Box	-51.7544	-10.1375	85.0834	7.0129	7.42599	2.4688	0	0	0	0	0	Box	1	1	0	0	0	1	0	0	0	0	0
Resources/Models/Box.x	Box	-52.9577	-11.8093	81.7669	4.53727	4.26133	4.16953	0	0	0	0	0	Box	1	1	0	0	0	1	0	0	0	0	0
Resources/Models/Box.x	Box	-51.1795	-11.7418	77.5307	4.53727	4.26133	4.16953	0	0	0	0	0	Box	1	1	0	0	0	1	0	0	0	0	0
Resources/Models/Box.x	Box	-57.3345	-11.8318	84.8791	4.53727	4.26133	4.16953	0	0	0	0	0	Box	1	1	0	0	0	1	0	0	0	0	0
Resources/Models/Box.x	Box	-72.5165	-11.7781	84.599	4.53727	4.26133	4.16953	0	0	0	0	0	Box	1	1	0	0	0	1	0	0	0	0	0
Resources/Models/Box.x	Box	-72.8244	-7.51368	84.8327	4.53727	4.26133	4.16953	0	0	0	0	0	Box	1	1	0	0	0	1	0	0	0	0	0
Resources/Models/Box.x	Box	-76.1979	-12.1526	21.802	2.78983	2.74663	2.74663	0	0	0	0	0	Box	1	1	0	0	0	1	0	0	0	0	0
Resources/Models/Box.x	Box	-75.5646	-12.1099	24.6386	2.78983	2.74663	2.74663	0	0	0	0	0	Box	1	1	0	0	0	1	0	0	0	0	0
Resources/Models/Box.x	Box	-75.4905	-12.1526	27.313	2.78983	2.74663	2.74663	0	0	0	0	0	Box	1	1	0	0	0	1	0	0	0	0	0
Resources/Models/Box.x	Box	-75.5192	-9.44132	24.71	2.78983	2.74663	2.74663	0	0	0	0	0	Box	1	1	0	0	0	1	0	0	0	0	0
Resources/Models/Box.x	Box	-76.3045	-9.44132	21.7869	2.78983	2.74663	2.74663	0	0	0	0	0	Box	1	1	0	0	0	1	0	0	0	0	0
Resources/Models/Box.x	Box	-76.3069	-6.70119	21.7861	2.78983	2.74663	2.74663	0	0	0	0	0	Box	1	1	0	0	0	1	0	0	0	0	0
Resources/Models/Box.x	Box	-76.215	-9.44132	27.4401	2.78983	2.74663	2.74663	0	0	0	0	0	Box	1	1	0	0	0	1	0	0	0	0	0
Resources/Models/Box.x	Box	-76.2114	-7.03994	24.6575	2.78983	2.74663	2.74663	0	0	0	0	0	Box	1	1	0	0	0	1	0	0	0	0	0
Resources/Models/Box.x	Box	-43.2638	-12.1313	66.2363	2.78983	2.74663	2.74663	0	0	0	0	0	Box	1	1	0	0	0	1	0	0	0	0	0
Resources/Models/Box.x	Box	-46.0361	-12.1099	66.075	2.78983	2.74663	2.74663	0	0	0	0	0	Box	1	1	0	0	0	1	0	0	0	0	0
Resources/Models/Box.x	Box	-48.82	-12.1099	65.9699	2.78983	2.74663	2.74663	0	0	0	0	0	Box	1	1	0	0	0	1	0	0	0	0	0
Resources/Models/Box.x	Box	-81.7541	-10.8486	65.6072	1.69012	5.91373	5.68342	0	0	0	0	0	Box	1	1	0	0	0	1	0	0	0	0	0
Resources/Models/Box.x	Box	-104.388	-11.0469	23.3685	1.69012	5.91373	5.68342	0	0	0	0	0	Box	1	1	0	0	0	1	0	0	0	0	0
Resources/Models/Box.x	Box	25.1844	-10.9589	65.8373	1.69012	5.91373	5.68342	0	0	0	0	0	Box	1	1	0	0	0	1	0	0	0	0	0
Resources/Models/Bookcase.x	Model2	-1.28871	-10.2368	20.3221	2.2393	2.9278	1.918	0	0	0	0	0	Bookcase	1	1	0	0	0	1	0	0	0	0	0
