path							name		posx		posy		posz		scalex	scaley	colx	coly	colz
Resources/Sprites/Redkey.png	Red_Keycard	10.6		-12.5		-75.18		0.3		0.3		3		10		3	
Resources/Sprites/Greenkey.png	Green_Keycard	80		-12.5		1.8			0.3		0.3		3		10		3
Resources/Sprites/Health.png	Health		22.1857		-12.9689	27.8498		0.286	0.388	3		10		3
Resources/Sprites/Health.png	Health		21.4229		-12.6646	59.3873		0.286	0.388	3		10		3
Resources/Sprites/Health.png	Health		93.9989		-12.7409	-46.6579	0.286	0.388	3		10		3
Resources/Sprites/Health.png	Health		147.732		-12.5372	-26.5515	0.286	0.388	3		10		3
Resources/Sprites/Health.png	Health		119.351		-12.5372	-26.1041	0.286	0.388	3		10		3
Resources/Sprites/Health.png	Health		-68.1069	-13.1453	-67.198		0.286	0.388	3		10		3
Resources/Sprites/Health.png	Health		-74.2686	-12.817		-61.9893	0.286	0.388	3		10		3
Resources/Sprites/Health.png	Health		-68.1596	-13.2458	-62.371		0.286	0.388	3		10		3
Resources/Sprites/Health.png	Health		-71.0642	-13.1453	-64.275		0.286	0.388	3		10		3
Resources/Sprites/Health.png	Health		20.1567		-11.9985	-62.6038	0.286	0.388	3		10		3
Resources/Sprites/Health.png	Health		20.449		-12.05		-66.8829	0.286	0.388	3		10		3
Resources/Sprites/Health.png	Health		21.1376		-12.05		-83.3172	0.286	0.388	3		10		3
Resources/Sprites/Health.png	Health		21.3606		-12.05		-88.6392	0.286	0.388	3		10		3
Resources/Sprites/Health.png	Health		21.5646		-12.05		-93.5082	0.286	0.388	3		10		3
Resources/Sprites/Health.png	Health		21.7876		-12.05		-98.8302	0.286	0.388	3		10		3
Resources/Sprites/Health.png	Health		21.9941		-12.1273	-104.494	0.286	0.388	3		10		3
Resources/Sprites/Health.png	Health		22.158		-12.05		-109.622	0.286	0.388	3		10		3
Resources/Sprites/Health.png	Health		22.1339		-11.9727	-114.848	0.286	0.388	3		10		3
Resources/Sprites/Health.png	Health		-170.353	-13.0446	64.7604		0.286	0.388	3		10		3
Resources/Sprites/Health.png	Health		-176.248	-12.6646	18.2311		0.286	0.388	3		10		3
Resources/Sprites/Health.png	Health		-86.0316	-13.1956	118.163		0.286	0.388	3		10		3
Resources/Sprites/Health.png	Health		-86.5651	-12.9689	86.3028		0.286	0.388	3		10		3
Resources/Sprites/Health.png	Health		-128.385	-12.9689	118.03		0.286	0.388	3		10		3
Resources/Sprites/Health.png	Health		-128.618	-12.9436	86.2303		0.286	0.388	3		10		3
Resources/Sprites/Health.png	Health		-140.452	-12.9688	86.3871		0.286	0.388	3		10		3
Resources/Sprites/Health.png	Health		-140.323	-13.0698	118.146		0.286	0.388	3		10		3
Resources/Sprites/Health.png	Health		-51.1558	-13.0698	66.6742		0.286	0.388	3		10		3
Resources/Sprites/Health.png	Health		-40.6405	-12.817		66.7868		0.286	0.388	3		10		3
Resources/Sprites/Health.png	Health		-102.447	-12.6646	65.3239		0.286	0.388	3		10		3
Resources/Sprites/Health.png	Health		-83.2206	-13.1202	22.7508		0.286	0.388	3		10		3
Resources/Sprites/Armor.png		Armor		16.1546		-12.9941	22.7679		0.286	0.388	3		10		3
Resources/Sprites/Armor.png		Armor		9.95041		-12.5117	23.677		0.286	0.388	3		10		3
Resources/Sprites/Armor.png		Armor		3.88742		-12.5372	23.7475		0.286	0.388	3		10		3
Resources/Sprites/Armor.png		Armor		-2.00559	-12.5372	23.8093		0.286	0.388	3		10		3
Resources/Sprites/Armor.png		Armor		-7.89867	-12.5117	23.8638		0.286	0.388	3		10		3
Resources/Sprites/Armor.png		Armor		0.0543466	-12.6646	96.1335		0.286	0.388	3		10		3
Resources/Sprites/Armor.png		Armor		-0.0354626	-11.4546	162.99		0.286	0.388	3		10		3
Resources/Sprites/Armor.png		Armor		23.0801		-11.6623	163.893		0.286	0.388	3		10		3
Resources/Sprites/Armor.png		Armor		23.8423		-11.5585	94.9088		0.286	0.388	3		10		3
Resources/Sprites/Armor.png		Armor		-175.613	-11.6882	33.4115		0.286	0.388	3		10		3
Resources/Sprites/Armor.png		Armor		-175.569	-11.5845	38.3209		0.286	0.388	3		10		3
Resources/Sprites/Armor.png		Armor		-175.489	-11.5845	43.7603		0.286	0.388	3		10		3
Resources/Sprites/Armor.png		Armor		-175.422	-11.5845	48.2938		0.286	0.388	3		10		3
Resources/Sprites/Armor.png		Armor		-175.339	-11.5845	53.9592		0.286	0.388	3		10		3
Resources/Sprites/Armor.png		Armor		48.2346		-12.2044	-153.358	0.286	0.388	3		10		3
Resources/Sprites/Armor.png		Armor		33.7384		-11.6623	-152.942	0.286	0.388	3		10		3
Resources/Sprites/Armor.png		Armor		-17.193		-11.6623	-141.835	0.286	0.388	3		10		3
Resources/Sprites/Armor.png		Armor		-17.3565	-11.5326	-136.85		0.286	0.388	3		10		3
Resources/Sprites/Armor.png		Armor		-17.4035	-11.4546	-131.30		0.286	0.388	3		10		3
Resources/Sprites/Armor.png		Armor		157.306		-11.7401	-116.213	0.286	0.388	3		10		3
Resources/Sprites/Armor.png		Armor		105.988		-11.584		-117.15		0.286	0.388	3		10		3
Resources/Sprites/Armor.png		Armor		106.187		-12.3583	-90.2873	0.286	0.388	3		10		3
Resources/Sprites/Armor.png		Armor		158.442		-12.3583	-90.5954	0.286	0.388	3		10		3
Resources/Sprites/Armor.png		Armor		58.818		-11.4286	-15.5777	0.286	0.388	3		10		3
Resources/Sprites/Armor.png		Armor		59.471		-11.3765	18.9854		0.286	0.388	3		10		3
NULL					LevelComplete	186		-10		68		0	0	5		5		5
