texturePath	tag	health	damage	movespeed	posx	posy	posz	scalex	scaley	xAnimRows	yAnimRows	colRadius	colheight
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	58.1437		-8.6	-1.62693	1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	58.1437		-8.6	-1.62693	1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	66.1404		-8.6	-15.1441	1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	62.1082		-8.6	-5.58653	1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	60.7099		-8.6	-13.9613	1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	57.5422		-8.6	-14.6648	1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	65.2318		-8.6	-11.9493	1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	112.831		-8.6	-73.7624	1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	112.329		-8.6	-78.455		1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	117.201		-8.6	-71.4992	1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	115.596		-8.6	-65.2805	1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	105.734		-8.6	-111.938	1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	117.402		-8.6	-111.998	1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	58.2467		-8.6	-114.437	1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	58.2512		-8.6	-116.848	1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-13.234		-8.6	-139.177	1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-19.515		-8.6	-131.406	1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-113.11		-8.6	-108.905	1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-150.65		-8.6	-104.074	1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-74.338		-8.6	-114.968	1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-109.47		-8.6	-113.173	1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-118.91		-8.6	-112.531	1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-122.59		-8.6	-115.149	1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-141.97		-8.6	-104.531	1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-156.72		-8.6	-99.5303	1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-110.13		-8.6	-203.164	1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-202.079	-8.6	-50.2341	1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-196.238	-8.6	-49.7252	1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-199.121	-8.6	-2.03091	1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-202.816	-8.6	35.0451		1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-128.095	-8.6	88.0715		1		1		8			8			1.2			5
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-127.339	-8.6	96.954		1		1		8			8			1.2			5
