texturePath	tag	health	damage	movespeed	posx	posy	posz	scalex	scaley	xAnimRows	yAnimRows	colRadius	colheight
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	58.1437		10	-1.62693	1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	58.1437		10	-1.62693	1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	66.1404		10	-15.1441	1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	62.1082		10	-5.58653	1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	60.7099		10	-13.9613	1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	57.5422		10	-14.6648	1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	65.2318		10	-11.9493	1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	112.831		10	-73.7624	1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	112.329		10	-78.455		1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	117.201		10	-71.4992	1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	115.596		10	-65.2805	1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	105.734		10	-111.938	1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	117.402		10	-111.998	1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	58.2467		10	-114.437	1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	58.2512		10	-116.848	1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-13.234		10	-139.177	1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-19.515		10	-131.406	1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-113.11		10	-108.905	1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-150.65		10	-104.074	1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-74.338		10	-114.968	1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-109.47		10	-113.173	1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-118.91		10	-112.531	1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-122.59		10	-115.149	1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-141.97		10	-104.531	1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-156.72		10	-99.5303	1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-110.13		10	-203.164	1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-202.079	10	-50.2341	1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-196.238	10	-49.7252	1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-199.121	10	-2.03091	1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-202.816	10	35.0451		1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-128.095	10	88.0715		1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-127.339	10	96.954		1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-129.108	10	85.7856		1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-196.804	10	31.0288		1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-167.761	10	21.5697		1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-174.983	10	24.4382		1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-172.729	10	20.4063		1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-170.627	10	16.9928		1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-93.6565	10	23.7944		1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-102.322	10	30.9797		1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-61.0944	10	74.5993		1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-72.3873	10	74.4647		1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-34.0857	10	79.2494		1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-36.4233	10	80.8006		1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	-25.2381	10	80.0463		1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	1.60793		10	77.7334		1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	2.59128		10	73.2766		1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	8.24221		10	75.5551		1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	4.60935		10	150.262		1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	1.50166		10	137.532		1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	2.39453		10	95.8992		1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	8.97447		10	105.134		1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	8.88656		10	94.7441		1		1		8			8			1.0			3
Resources/AnimationPNG/Enemy1.png	soldier	60	15	4	95.9536		10	127.283		1		1		8			8			1.0			3
